Data Source,世界发展指标,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2023/3/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
密克罗尼西亚联邦,FSM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,10,10,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,30,30,30,30,30,30,30,30,,
加蓬,GAB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,330,340,340,340,340,290,310,320,330,330,330,370,410,470,460,510,530,590,540,580,560,530,630,570,600,620,640,580,640,,
英国,GBR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58120,57220,51990,47970,48550,46850,47710,47070,46830,37060,36050,34650,32630,32230,33130,31970,30910,30950,30790,28480,29010,28050,27660,27670,28470,28360,28100,28370,28130,28370,,
格鲁吉亚,GEO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2510,2290,2050,1750,1440,1360,1480,1550,1600,1740,1820,1610,1610,1580,1730,1890,1850,1800,1770,1810,1830,2070,2220,2410,2380,2270,2300,2190,2170,2160,,
加纳,GHA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3510,3590,3560,3590,3600,3620,3850,3910,4500,3910,4490,3880,3810,4160,3690,4650,4510,4260,4290,4140,4380,4780,4670,5050,4920,5180,5200,5530,5320,5370,,
直布罗陀,GIB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
几内亚,GIN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2620,2690,2760,2850,2960,3060,2650,2680,3070,2820,3030,3500,3970,3900,3790,4390,4380,4420,4590,4580,4660,5020,5540,5530,5570,5490,6730,6480,6130,6670,,
冈比亚,GMB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,290,290,290,290,290,300,290,310,280,310,270,260,300,320,330,350,350,350,370,380,350,310,320,340,340,340,340,340,330,,
几内亚比绍共和国,GNB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,500,510,520,530,540,500,490,480,530,520,680,700,700,650,600,680,670,620,660,690,690,760,710,730,760,730,750,780,780,,
赤道几内亚,GNQ,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
希腊,GRC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7390,7160,7050,6590,6720,6530,6820,6520,6310,6330,6390,6120,6160,6190,5840,5680,5370,5240,5420,4960,5350,5900,5100,4800,4670,4490,4470,4530,4330,4270,,
格林纳达,GRD,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
格陵兰,GRL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
危地马拉,GTM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2370,2530,2650,2780,2770,2830,2780,2850,2810,3020,3060,3150,3200,3480,3550,3760,3730,3860,3570,3930,4140,4370,4460,4520,4470,4690,4730,4800,4840,4920,,
关岛,GUM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圭亚那,GUY,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,610,650,640,650,640,720,740,770,770,800,760,770,800,840,930,830,830,840,900,850,890,850,900,940,910,960,890,840,970,930,,
高收入国家,HIC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,821620,805100,798930,796480,814130,816870,832060,819140,793480,781030,786100,785860,775060,745550,778820,750040,759120,760970,716010,690800,681070,738560,733420,694020,709920,706990,696520,720420,715910,698920,,
中国香港特别行政区,HKG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
洪都拉斯,HND,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840,1900,1890,1850,1800,2110,1950,2150,2180,2170,2400,2290,1980,2430,2430,2670,2670,2650,2440,2570,2570,2860,2750,2920,2880,2840,3040,3070,3180,3150,,
重债穷国 (HIPC),HPC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183650,186690,189430,190160,250970,254510,255220,257950,270790,269560,272690,267080,281020,293670,294450,308850,303360,311440,317330,316960,328630,329790,337330,344530,346990,353950,366410,365860,369440,373050,,
克罗地亚,HRV,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2940,2660,2770,2300,2340,2280,2260,2630,2120,2240,2390,2210,2400,2300,2640,2490,2920,3080,3420,2240,2500,2630,2330,1730,1700,1840,1610,1740,1740,1720,,
海地,HTI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,980,1030,1160,1110,1110,1130,1200,1230,1290,1290,1430,1430,1440,1450,1440,1450,1450,1470,1460,1480,1500,1510,1500,1510,1530,1550,1600,1600,1600,1600,,
匈牙利,HUN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9640,7570,5500,6140,6880,6110,7140,7020,6620,6600,6940,7460,6370,6280,7240,6940,6720,6190,5680,5150,5000,5290,5160,5550,5390,5370,5540,5570,5930,5700,,
只有IBRD,IBD,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1186190,1180290,1174450,1159910,1166400,1212650,1238680,1215730,1235610,1249860,1253940,1273950,1309650,1333060,1376510,1402570,1433180,1472120,1491340,1503000,1554330,1583200,1595160,1612090,1630060,1647230,1669850,1702600,1694410,1715440,,
IBRD与IDA,IBT,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1504500,1502290,1501240,1488340,1560800,1615170,1645030,1629260,1665520,1682730,1692050,1705170,1757420,1798370,1845970,1892850,1921020,1976810,2006950,2023690,2086980,2123550,2144270,2173400,2198590,2224750,2266220,2304070,2305470,2329510,,
IDA總,IDA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,318310,322000,326790,328430,394400,402520,406350,413530,429910,432870,438110,431220,447770,465310,469460,490280,487840,504690,515610,520690,532650,540350,549110,561310,568530,577520,596370,601470,611060,614070,,
IDA混合,IDB,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85750,85610,86180,86130,145060,147500,148100,152660,155790,157950,158730,159330,160850,165040,166600,172260,173190,178730,181960,186050,189190,192430,191850,196790,198310,200340,207010,210770,213600,217410,,
印度尼西亚,IDN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59070,59310,61450,60450,62070,64470,66590,64300,65450,63890,65400,65700,68050,68620,70550,71550,73400,74980,77340,80630,80480,83590,85770,83740,86890,86970,88700,94800,98120,98090,,
只有IDA,IDX,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232560,236390,240610,242300,249340,255020,258250,260870,274120,274920,279380,271890,286920,300270,302860,318020,314650,325960,333650,334640,343460,347920,357260,364520,370220,377180,389360,390700,397460,396660,,
马恩岛,IMN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
印度,IND,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145180,149330,153480,157020,162730,166240,171220,176430,180340,183380,180080,184240,178250,185440,192090,201730,211310,220830,225510,230500,239140,247020,245260,245550,248290,252300,251100,255810,262510,260170,,
未分类国家,INX,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱尔兰,IRL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10030,9780,9850,10180,10370,10350,10220,10310,10750,10720,10610,10380,10680,10070,9760,9510,9350,9180,9140,9390,8940,8820,9320,9260,9210,9330,9380,9730,9510,9250,,
伊朗伊斯兰共和国,IRN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16480,17180,19070,17610,18300,20420,22770,25610,28220,29610,31550,32040,33190,34120,35520,36380,38690,37740,37250,37680,37420,34870,36050,36180,35620,35670,36250,36070,36590,37300,,
伊拉克,IRQ,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4160,2830,3500,4500,4410,4120,4020,4230,4330,4170,4240,5900,6150,2970,3300,3860,3800,3670,4040,4710,4630,4950,5200,5220,4700,3770,4130,4710,4780,5670,,
冰岛,ISL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,380,370,380,370,360,380,380,380,390,380,350,360,360,350,350,380,390,400,350,350,350,360,350,370,380,370,380,380,370,,
以色列,ISR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1760,1740,1810,1840,1920,1960,2100,2130,2160,2110,2200,2210,2200,2270,2350,2330,2340,2510,2400,2190,2280,2390,2480,2450,2470,2560,2570,2630,2650,2720,,
意大利,ITA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26420,26550,25970,25760,25060,25830,26090,25740,26140,26380,26670,25550,26310,25690,27020,25700,20670,20100,18650,17370,16820,16280,16730,16560,16200,16330,16320,16180,15390,15340,,
牙买加,JAM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,510,500,520,520,530,530,530,540,550,560,560,560,580,570,550,470,450,450,440,440,440,460,450,450,430,440,440,450,450,,
约旦,JOR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480,580,640,640,580,620,590,610,600,600,560,570,600,610,700,760,980,1180,1160,1020,1100,1230,1050,1230,1230,1340,1330,1310,1300,1310,,
日本,JPN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27620,26940,27260,27210,28690,28450,29430,29930,28440,22230,24860,21620,21650,21750,22340,21970,21860,20860,20620,20270,20080,19300,18760,19340,19260,18720,18750,18880,18800,18700,,
哈萨克斯坦,KAZ,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18780,17860,15950,14730,13880,11760,10180,8840,7460,6920,6690,7440,11840,8650,9650,10010,10950,10060,10340,9590,11050,10000,9770,8890,10220,10890,10130,13380,11000,12170,,
肯尼亚,KEN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10380,10030,9980,9880,10000,9860,9480,9440,9760,10240,9530,9610,9920,10600,11080,11020,10600,16320,16330,15810,16010,16630,16460,16390,17350,16870,18030,16650,17310,19880,,
吉尔吉斯斯坦,KGZ,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400,2240,2020,1850,1610,1320,1280,1240,1300,1310,1320,1340,1240,1380,1370,1410,1410,1450,1490,1640,1640,1690,1760,1830,1890,1800,1840,1810,1950,1920,,
柬埔寨,KHM,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2730,2780,2970,3060,3010,3310,3510,3440,3330,3710,3390,3210,3370,3530,3690,3630,3990,4130,4150,4360,4320,4540,4320,4340,4320,4580,4380,4920,4840,4720,,
基里巴斯,KIR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,,
圣基茨和尼维斯,KNA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
大韩民国,KOR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7730,7870,10210,10450,10940,11840,12450,13550,13300,14150,15020,15230,14940,18220,20840,19370,18020,9780,8970,8930,9260,9380,9540,9600,9600,9870,10010,10180,10310,10330,,
科威特,KWT,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290,170,240,300,330,360,400,410,440,480,490,480,530,550,560,600,630,650,710,760,750,780,820,850,860,910,920,960,980,990,,
拉丁美洲与加勒比海地区（不包括高收入）,LAC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245110,245480,246330,247890,251530,253920,247930,252960,261850,261420,263750,272930,281860,293850,305450,307910,307120,319410,309620,302140,325390,326790,328270,332180,335160,332300,344860,357950,351200,358180,,
老挝,LAO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1480,1560,1570,1650,1690,1660,1700,1580,1500,1670,1730,1820,1870,2030,2040,1990,2210,2160,2270,2510,2310,2510,2590,2590,2720,2900,2830,2810,2860,,
黎巴嫩,LBN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,430,470,520,480,580,580,600,620,620,620,650,610,640,670,600,570,580,610,670,680,780,860,820,850,890,930,950,900,940,,
利比里亚,LBR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,170,170,160,150,150,140,160,160,160,170,170,170,180,180,170,200,210,230,350,260,270,280,270,310,360,310,310,310,350,,
利比亚,LBY,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1240,1230,1160,1200,1180,1260,1230,1200,1280,1380,1230,1210,1300,1330,1440,1530,1610,1650,1690,1780,1860,1770,1860,1890,1820,1720,1810,1800,1810,1830,,
圣卢西亚,LCA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,40,40,50,70,80,80,40,40,30,40,20,20,20,20,20,30,30,30,30,30,30,30,30,30,30,30,30,30,,
拉丁美洲与加勒比海地区,LCN,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268770,269640,270880,272620,276680,279430,273760,278760,287700,287200,290180,300160,309260,321930,334420,337260,336910,350100,341970,334290,356630,357110,360360,363990,366420,362820,375140,387780,380940,388300,,
最不发达国家：联合国分类,LDC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229230,233600,238110,240020,247150,252480,254360,256160,270110,270330,274370,268030,283780,298060,301660,313920,309090,321580,329000,330320,340470,343940,352370,359960,365490,372960,384460,386810,391700,392380,,
低收入国家,LIC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160920,164010,167500,168440,174310,176080,177960,179910,190540,188470,191520,184880,197490,208170,210530,221290,217640,226370,232210,231450,237200,238070,246140,249850,253520,258070,268530,267990,271950,270440,,
列支敦士登,LIE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
斯里兰卡,LKA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180,2120,2210,2310,2370,2330,2290,2320,2300,2490,2450,2440,2660,2470,2550,2750,2700,2610,2950,2780,2760,3040,2830,2590,3120,3220,2530,2370,2240,2450,,
中低等收入国家,LMC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503270,508160,513560,512810,580430,593060,603020,613930,628970,636820,643800,647630,653130,672500,688470,709510,724020,747230,757820,776780,793550,811400,813160,825800,834680,847640,858050,878460,892780,900320,,
中低收入国家,LMY,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1446220,1449470,1448180,1434460,1507310,1559950,1588810,1572370,1611030,1628630,1635600,1648800,1701870,1740810,1786130,1831730,1859840,1913550,1943850,1965610,2028270,2066230,2085760,2116490,2143240,2169440,2210260,2248180,2249580,2273110,,
莱索托,LSO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,580,640,630,620,580,580,570,530,730,700,680,600,620,590,660,650,670,620,620,620,630,620,580,570,570,550,610,590,560,,
後期人口紅利,LTE,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697820,695830,690420,677580,682340,720090,736730,706340,717390,729920,726870,737800,773100,785570,814530,825160,838750,860600,870830,878890,908960,918310,933140,946870,967140,982120,992370,1005040,993380,1008700,,
立陶宛,LTU,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5730,5520,4760,4160,3760,3650,4120,4230,4480,4470,4680,4740,4990,5090,5320,5570,5520,6300,6000,3920,3820,4160,3980,3740,3810,3820,3680,3720,3570,3650,,
卢森堡,LUX,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,320,320,320,320,310,320,320,320,340,260,260,340,350,380,370,370,370,380,370,370,380,360,360,360,360,360,370,370,380,,
拉脱维亚,LVA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2560,2410,2390,2040,1690,1430,1450,1460,1500,1480,1440,1520,1520,1460,1550,1580,1600,1660,1700,1700,1730,1750,1820,1840,1880,1960,1940,1930,1860,1940,,
中国澳门特别行政区,MAC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
圣马丁（法属）,MAF,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摩洛哥,MAR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6330,6180,5660,5410,6110,5690,6320,6420,6600,6880,6950,7060,7380,7400,7730,8110,8490,7930,8030,7900,8070,8440,8000,8770,8670,9090,7830,9210,9370,8890,,
摩纳哥,MCO,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
摩尔多瓦,MDA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,1990,1610,1500,1440,1460,1390,1060,890,820,780,940,870,830,870,860,820,810,830,730,810,880,850,940,1000,920,1040,1080,1180,1080,,
马达加斯加,MDG,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8170,8190,8220,8280,8270,8350,8410,8170,8440,8190,7840,7550,6840,7850,7090,8700,8080,8780,8140,8490,8430,8470,8680,8460,8440,8510,9040,8600,8640,8460,,
马尔代夫,MDV,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,
中东与北非地区,MEA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62990,63160,65930,66210,66550,70020,74520,77890,83050,85150,91260,93990,96930,96460,101400,103120,107630,107760,107720,109780,110230,110270,111580,112800,112110,112440,113040,114320,114580,117550,,
墨西哥,MEX,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37770,36740,36780,37300,37530,36710,37500,37460,38740,37930,38140,38610,35980,36650,36700,38930,38260,39280,38460,39020,39620,40370,41910,44080,39320,39360,43600,43880,43120,44150,,
马绍尔群岛,MHL,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
中等收入国家,MIC,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1285300,1285460,1280680,1266020,1333000,1383870,1410850,1392460,1420490,1440160,1444080,1463920,1504380,1532640,1575600,1610440,1642200,1687180,1711640,1734160,1791070,1828160,1839620,1866640,1889720,1911370,1941730,1980190,1977630,2002670,,
北马其顿,MKD,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,900,680,730,980,940,940,870,800,730,690,620,580,570,610,600,590,590,570,550,570,570,540,550,560,560,590,580,560,540,,
马里,MLI,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200,6170,6180,6270,6330,6420,6790,6890,7310,7910,8100,7650,7850,8050,9100,9290,9410,9530,10150,9930,10670,10800,10950,11470,11580,12000,13530,13440,13630,14260,,
马耳他,MLT,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,70,70,70,70,60,70,70,60,60,60,60,60,60,60,60,60,60,60,60,50,60,70,70,70,60,50,50,50,,
缅甸,MMR,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11070,11110,11320,11570,12080,12330,12580,12560,12830,13240,13690,13360,13390,14050,14900,14890,15480,16210,16210,16810,17290,17680,18300,19060,20140,20110,20610,22080,23040,23480,,
中东与北非地区（不包括高收入）,MNA,一氧化氮排放量（千公吨二氧化碳当量）,EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54760,54750,57060,57290,57610,61400,65520,68560,73420,75480,81190,83690,86280,85440,89970,91640,95850,95230,95520,97740,97690,97040,97880,98240,97370,97080,97440,98660,99010,101710,,
